"Id";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref";
1;"R1";"1206_NONPOL";1;"4k7";;;
2;"R2,R25,R40,R41,R42,R43,R45,R44,R47,R46";"1206_NONPOL";10;"10k";;;
3;"R3,R4,R5,R33,R34,R36,R37,R38,R39,R18,R19,R21,R20,R24,R26,R23,R22,R28,R29,R30,R27";"1206_NONPOL";21;"R";;;
4;"R6,R9,R12,R15";"1206_NONPOL";4;"300R";;;
5;"R7,R8,R11,R10,R13,R14,R17,R16";"1206_NONPOL";8;"120R";;;
6;"X1";"HCM49";1;"16_MHz";;;
7;"D15,D14,D13,D16,D17,D18,D24,D23,D22,D19,D20,D21,D33,D32,D31,D34,D35,D36,D30,D29,D28,D25,D26,D27,D42,D41,D40,D43,D44,D45,D46,D47,D48,D37,D38,D39";"LEDV";36;"LED";;;
8;"MH2,MH1,MH4,MH3";"MountingHole_3mm";4;"MOUNTINGHOLE3MM";;;
9;"RV1,RV3,RV2";"PIN_ARRAY_3X1";3;"POT";;;
10;"K3";"PIN_ARRAY_3X1";1;"Vin12V";;;
11;"K1";"PIN_ARRAY_3X1";1;"SPI";;;
12;"P5";"pin_array_4x2";1;"PORTA";;;
13;"P7";"PIN_ARRAY_5x1";1;"USB";;;
14;"P6";"PIN_ARRAY_5x2";1;"JTAG";;;
15;"D3,D2,D1,D4,D5,D6,D9,D8,D7,D10,D11,D12";"PLCC6";12;"CLP6C-FKB";;;
16;"U4";"SO16N";1;"SN74AHC367";;;
17;"Q3,Q1,Q2,Q5,Q4,Q7,Q6,Q8";"SOT23_GSD";8;"MOSFET_N";;;
18;"U3";"SSOP28";1;"FT232RL";;;
19;"D53,D54,D52,D55,D57,D56,D62,D63,D61,D58,D60,D59,D65,D66,D64,D67,D69,D68";"SUPERFLUX_LED";18;"SUPERFLUX_LED";;;
20;"U2";"TMB-6";1;"TSL2561";;;
21;"P1";"PIN_ARRAY_5x1";1;"IMP";;;
22;"IC1";"TQFP44";1;"ATMEGA32-A";;;
23;"C1,C2";"0805_NONPOL";2;"C";;;
24;"C3,C17,C15";"0805_NONPOL";3;"4.7uF";;;
25;"C4,C5,C6,C18,C16,C14,C13,C12,C11,C10,C19";"0805_NONPOL";11;"100nF";;;
26;"C7,C8,C9";"0805_NONPOL";3;"DNL";;;
27;"P9";"PIN_ARRAY_2X1";1;"BUTTON";;;
28;"P2";"1pin_small";1;"PB2";;;
29;"P3";"1pin_small";1;"PC7";;;
30;"P4";"1pin_small";1;"PC6";;;
31;"P8";"1pin_small";1;"AREF";;;
32;"C21,C20";"0805_NONPOL";2;"330nF";;;
33;"R49,R48";"1206_NONPOL";2;"33k";;;
34;"U5";"TO-220_90DEG";1;"7805";;;
